method,time,metric,datetime
pyteomics,0.061288208002224565,spec,2024-11-21 10:30:09.568607
pyteomics,0.03915400500409305,spec,2024-11-21 10:30:09.568607
pyteomics,0.04004010499920696,spec,2024-11-21 10:30:09.568607
pyteomics,0.04086420498788357,spec,2024-11-21 10:30:09.568607
pyteomics,0.03837310499511659,spec,2024-11-21 10:30:09.568607
pyteomics,0.03933430399047211,spec,2024-11-21 10:30:09.568607
pyteomics,0.03922040501493029,spec,2024-11-21 10:30:09.568607
pyteomics,0.03820860499399714,spec,2024-11-21 10:30:09.568607
pyteomics,0.03947810499812476,spec,2024-11-21 10:30:09.568607
pyteomics,0.03910670499317348,spec,2024-11-21 10:30:09.568607
pymzml,0.08022100999369286,spec,2024-11-21 10:30:09.568607
pymzml,0.09226151098846458,spec,2024-11-21 10:30:09.568607
pymzml,0.14203561798785813,spec,2024-11-21 10:30:09.568607
pymzml,0.09459121100371704,spec,2024-11-21 10:30:09.568607
pymzml,0.09547691198531538,spec,2024-11-21 10:30:09.568607
pymzml,0.08751151099568233,spec,2024-11-21 10:30:09.568607
pymzml,0.10474721301579848,spec,2024-11-21 10:30:09.568607
pymzml,0.09621291197254322,spec,2024-11-21 10:30:09.568607
pymzml,0.09426471102051437,spec,2024-11-21 10:30:09.568607
pymzml,0.09300571199855767,spec,2024-11-21 10:30:09.568607
pyopenms,0.3742750459932722,spec,2024-11-21 10:30:09.568607
pyopenms,0.502136661001714,spec,2024-11-21 10:30:09.568607
pyopenms,0.4143992509925738,spec,2024-11-21 10:30:09.568607
pyopenms,0.38965234797797166,spec,2024-11-21 10:30:09.568607
pyopenms,0.3427796420000959,spec,2024-11-21 10:30:09.568607
pyopenms,0.37956094698165543,spec,2024-11-21 10:30:09.568607
pyopenms,0.40849984998931177,spec,2024-11-21 10:30:09.568607
pyopenms,0.33854464199976064,spec,2024-11-21 10:30:09.568607
pyopenms,0.3386804409965407,spec,2024-11-21 10:30:09.568607
pyopenms,0.3384889420121908,spec,2024-11-21 10:30:09.568607
pyteomics,1.4988221479870845,chrom,2024-11-21 10:30:09.568607
pyteomics,1.3272443850000855,chrom,2024-11-21 10:30:09.568607
pyteomics,1.2384549530106597,chrom,2024-11-21 10:30:09.568607
pyteomics,1.2030873390031047,chrom,2024-11-21 10:30:09.568607
pyteomics,1.2382202529988717,chrom,2024-11-21 10:30:09.568607
pyteomics,1.2074440409778617,chrom,2024-11-21 10:30:09.568607
pyteomics,1.2243761740101036,chrom,2024-11-21 10:30:09.568607
pyteomics,1.454301187011879,chrom,2024-11-21 10:30:09.568607
pyteomics,1.3036095569841564,chrom,2024-11-21 10:30:09.568607
pyteomics,1.4233800809888635,chrom,2024-11-21 10:30:09.568607
pymzml,1.2458150459860917,chrom,2024-11-21 10:30:09.568607
pymzml,1.084363714006031,chrom,2024-11-21 10:30:09.568607
pymzml,1.1513051389774773,chrom,2024-11-21 10:30:09.568607
pymzml,1.1422342739824671,chrom,2024-11-21 10:30:09.568607
pymzml,1.0757787520124111,chrom,2024-11-21 10:30:09.568607
pymzml,1.0606178470188752,chrom,2024-11-21 10:30:09.568607
pymzml,1.0991162600112148,chrom,2024-11-21 10:30:09.568607
pymzml,1.0514252440189011,chrom,2024-11-21 10:30:09.568607
pymzml,1.0752774509892333,chrom,2024-11-21 10:30:09.568607
pymzml,1.0701152280089445,chrom,2024-11-21 10:30:09.568607
pyopenms,1.1945712759916205,chrom,2024-11-21 10:30:09.568607
pyopenms,1.3198720939981285,chrom,2024-11-21 10:30:09.568607
pyopenms,1.3243715949938633,chrom,2024-11-21 10:30:09.568607
pyopenms,1.2565204849815927,chrom,2024-11-21 10:30:09.568607
pyopenms,1.2582357859937474,chrom,2024-11-21 10:30:09.568607
pyopenms,1.2503492700052448,chrom,2024-11-21 10:30:09.568607
pyopenms,1.1262862120056525,chrom,2024-11-21 10:30:09.568607
pyopenms,1.2106005219975486,chrom,2024-11-21 10:30:09.568607
pyopenms,1.1859848180029076,chrom,2024-11-21 10:30:09.568607
pyopenms,1.1768147179973312,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.3860261389927473,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.3860821390117053,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.42694854200817645,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.4284572429896798,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.41705074202036485,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.4009446399868466,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.4149909419938922,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.4501265440194402,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.4251130399934482,chrom,2024-11-21 10:30:09.568607
pyopenms_2d,0.422639941010857,chrom,2024-11-21 10:30:09.568607
pyteomics,0.8398093809955753,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.8671493830042891,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.8658236830087844,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.817617477994645,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.8268927790049929,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.7365185700182337,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.7195248690259177,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.7884060759970453,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.7245118500140961,rtrange,2024-11-21 10:30:09.568607
pyteomics,0.7105408479983453,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3926675270195119,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3790668250003364,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3629244240000844,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3618803249846678,rtrange,2024-11-21 10:30:09.568607
pymzml,0.38784412600216456,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3664873249945231,rtrange,2024-11-21 10:30:09.568607
