query,target,method,time,file_size
chrom,829.7973022460938,SQLite,0.4392880999948829,144912384
chrom,829.7973022460938,SQLite (indexed),0.010190499946475,206209024
chrom,829.7973022460938,DuckDB,0.0596217000856995,54013952
chrom,829.7973022460938,DuckDB (ordered),0.0311137998942285,61091840
chrom,829.7973022460938,Parquet,0.2136242999695241,39542523
chrom,829.7973022460938,Parquet (ordered),0.0504129999317228,39542523
chrom,663.4524536132812,SQLite,0.4829108000267297,144912384
chrom,663.4524536132812,SQLite (indexed),0.096972299972549,206209024
chrom,663.4524536132812,DuckDB,0.079660200048238,54013952
chrom,663.4524536132812,DuckDB (ordered),0.021423100028187,61091840
chrom,663.4524536132812,Parquet,0.180811199825257,39542523
chrom,663.4524536132812,Parquet (ordered),0.0914307001512497,39542523
chrom,647.4578857421875,SQLite,0.4645549000706523,144912384
chrom,647.4578857421875,SQLite (indexed),0.0613249000161886,206209024
chrom,647.4578857421875,DuckDB,0.0645683000329881,54013952
chrom,647.4578857421875,DuckDB (ordered),0.0214960998855531,61091840
chrom,647.4578857421875,Parquet,0.2127843999769538,39542523
chrom,647.4578857421875,Parquet (ordered),0.0943648000247776,39542523
chrom,529.3988037109375,SQLite,0.4589037001132965,144912384
chrom,529.3988037109375,SQLite (indexed),0.0058333999477326,206209024
chrom,529.3988037109375,DuckDB,0.0440106999594718,54013952
chrom,529.3988037109375,DuckDB (ordered),0.0201266999356448,61091840
chrom,529.3988037109375,Parquet,0.1877830000594258,39542523
chrom,529.3988037109375,Parquet (ordered),0.0888761000242084,39542523
chrom,338.34130859375,SQLite,0.46589389978908,144912384
chrom,338.34130859375,SQLite (indexed),0.022630900144577,206209024
chrom,338.34130859375,DuckDB,0.0352332999464124,54013952
chrom,338.34130859375,DuckDB (ordered),0.0198110998608171,61091840
chrom,338.34130859375,Parquet,0.1127435001544654,39542523
chrom,338.34130859375,Parquet (ordered),0.0997629999183118,39542523
chrom,1055.298583984375,SQLite,0.4321775999851525,144912384
chrom,1055.298583984375,SQLite (indexed),0.0069787998218089,206209024
chrom,1055.298583984375,DuckDB,0.0359827999491244,54013952
chrom,1055.298583984375,DuckDB (ordered),0.0189437000080943,61091840
chrom,1055.298583984375,Parquet,0.1298250001855194,39542523
chrom,1055.298583984375,Parquet (ordered),0.0423955000005662,39542523
chrom,237.0791778564453,SQLite,0.4714137001428753,144912384
chrom,237.0791778564453,SQLite (indexed),0.0209923998918384,206209024
chrom,237.0791778564453,DuckDB,0.032948900014162,54013952
chrom,237.0791778564453,DuckDB (ordered),0.0188041999936103,61091840
chrom,237.0791778564453,Parquet,0.0934176000300794,39542523
chrom,237.0791778564453,Parquet (ordered),0.0949369999580085,39542523
chrom,215.05963134765625,SQLite,0.4670289000496268,144912384
chrom,215.05963134765625,SQLite (indexed),0.0047389999963343,206209024
chrom,215.05963134765625,DuckDB,0.0269093001261353,54013952
chrom,215.05963134765625,DuckDB (ordered),0.0201419999357312,61091840
chrom,215.05963134765625,Parquet,0.1018235001247376,39542523
chrom,215.05963134765625,Parquet (ordered),0.0868619999382644,39542523
chrom,664.459228515625,SQLite,0.4668113999068737,144912384
chrom,664.459228515625,SQLite (indexed),0.0953818000853061,206209024
chrom,664.459228515625,DuckDB,0.0759805000852793,54013952
chrom,664.459228515625,DuckDB (ordered),0.0242577998433262,61091840
chrom,664.459228515625,Parquet,0.1754127000458538,39542523
chrom,664.459228515625,Parquet (ordered),0.0889557001646608,39542523
chrom,648.462890625,SQLite,0.4636293000075966,144912384
chrom,648.462890625,SQLite (indexed),0.0603696999605745,206209024
chrom,648.462890625,DuckDB,0.0612073999363929,54013952
chrom,648.462890625,DuckDB (ordered),0.0220625998917967,61091840
chrom,648.462890625,Parquet,0.1765437999274581,39542523
chrom,648.462890625,Parquet (ordered),0.0925506998319178,39542523
