n_chroms,method,time
1,pyteomics,15.664964500116184
1,pyteomics,15.633791199885309
1,pyteomics,15.450194500153884
1,pyopenms,5.9672334000933915
1,pyopenms,5.912183000007644
1,pyopenms,5.77799930004403
1,pyopenms_2DPeak,3.836296899942681
1,pyopenms_2DPeak,3.8334837001748383
1,pyopenms_2DPeak,3.803485600044951
1,pymzml,9.090463900007308
1,pymzml,9.01463419990614
1,pymzml,8.977910700021312
1,mzMLb,14.597001800080761
1,mzMLb,14.56016720016487
1,mzMLb,14.569934999803081
1,mzDB,1.3742835999000818
1,mzDB,1.3752246000804007
1,mzDB,1.383558499859646
1,MZA,6.905858400044963
1,MZA,7.340808100067079
1,MZA,7.2410792000591755
1,mz5,20.504479000112042
1,mz5,20.448003500001505
1,mz5,20.41521120001562
1,SQLite,0.35562070016749203
1,SQLite,0.36333699990063906
1,SQLite,0.35214599990285933
1,DuckDB,0.04689870006404817
1,DuckDB,0.04466699995100498
1,DuckDB,0.04349690000526607
1,Parquet,0.15849489998072386
1,Parquet,0.13874379987828434
1,Parquet,0.13667810009792447
3,pyteomics,16.32319190003909
3,pyteomics,16.308908100007102
3,pyteomics,16.484359299996868
3,pyopenms,6.843590200180188
3,pyopenms,6.962372699985281
3,pyopenms,6.870740199927241
3,pyopenms_2DPeak,3.9812845999840647
3,pyopenms_2DPeak,3.952144999988377
3,pyopenms_2DPeak,3.9464104999788105
3,pymzml,24.7324320001062
3,pymzml,24.718058499973267
3,pymzml,24.670616500079632
3,mzMLb,15.329011299880221
3,mzMLb,15.299195100087672
3,mzMLb,15.311968899797648
3,mzDB,4.271084800129756
3,mzDB,4.254627800080925
3,mzDB,4.243997800163925
3,MZA,19.621416500071064
3,MZA,19.727453399915248
3,MZA,19.51505700009875
3,mz5,64.00285420008004
3,mz5,64.11493910010904
3,mz5,64.21378979994915
3,SQLite,1.0535284001380205
3,SQLite,1.0454899000469595
3,SQLite,1.0461667000781745
3,DuckDB,0.06107780011370778
3,DuckDB,0.05657420004718006
3,DuckDB,0.05769859999418259
3,Parquet,0.37998440000228584
3,Parquet,0.39700659993104637
3,Parquet,0.39567469991743565
10,pyteomics,22.157488700002432
10,pyteomics,21.878753500059247
10,pyteomics,21.618477100040764
10,pyopenms,15.973662700038403
10,pyopenms,16.108794499887154
10,pyopenms,16.175252299988642
10,pyopenms_2DPeak,4.061032299883664
10,pyopenms_2DPeak,4.04601199994795
10,pyopenms_2DPeak,4.106285499874502
10,pymzml,85.543341799872
10,pymzml,85.02095849998295
10,pymzml,84.94632599991746
10,mzMLb,20.400444499915466
10,mzMLb,20.361115500098094
10,mzMLb,20.423561400035396
10,mzDB,13.266449300106615
10,mzDB,13.198993699857965
10,mzDB,13.40839479980059
10,MZA,64.77192039997317
10,MZA,63.63191929995082
10,MZA,63.7304791000206
10,mz5,216.0220013000071
10,mz5,215.52282340009697
10,mz5,215.0659306999296
10,SQLite,3.495645400136709
10,SQLite,3.478154700016603
10,SQLite,3.483516500098631
10,DuckDB,0.12852290016599
10,DuckDB,0.11773239984177053
10,DuckDB,0.11456030001863837
10,Parquet,1.2541742001194507
10,Parquet,1.2485258001834154
10,Parquet,1.2353753000497818
30,pyteomics,32.720831600017846
30,pyteomics,32.9481958001852
30,pyteomics,33.07929609995335
30,pyopenms,37.81650159996934
30,pyopenms,38.03773290012032
30,pyopenms,38.10136199998669
30,pyopenms_2DPeak,4.4630532998126
30,pyopenms_2DPeak,4.368140299804509
30,pyopenms_2DPeak,4.410507999826223
30,pymzml,257.180360800121
30,pymzml,255.07755420007743
30,pymzml,255.31106740003452
30,mzMLb,32.045150300022215
30,mzMLb,31.893220599973574
30,mzMLb,31.692446100059897
30,mzDB,38.502470300067216
30,mzDB,38.529770999914035
30,mzDB,38.877899599960074
30,MZA,194.469101900002
30,MZA,193.19688649987802
30,MZA,201.38236559997313
30,mz5,648.9224212998524
30,mz5,675.641986399889
30,mz5,705.223135500215
30,SQLite,10.562078000046313
30,SQLite,10.504244100069627
30,SQLite,10.48612350015901
30,DuckDB,0.36474099988117814
30,DuckDB,0.3365440999623388
30,DuckDB,0.3348014000803232
30,Parquet,3.6593464000616223
30,Parquet,3.7455825000070035
30,Parquet,3.6966275998856872
100,pyteomics,78.30178129998967
100,pyteomics,78.51791390008293
100,pyteomics,78.49350060010329
100,pyopenms,118.85698449984193
100,pyopenms,120.39173929998651
100,pyopenms,119.12076739990152
100,pyopenms_2DPeak,5.207154999952763
100,pyopenms_2DPeak,5.1083237999118865
100,pyopenms_2DPeak,5.134150200057775
100,pymzml,863.1988286999986
100,pymzml,864.2225258001126
100,pymzml,845.196285800077
100,mzMLb,74.45896329986863
100,mzMLb,74.20685259997845
100,mzMLb,74.47169449995272
100,mzDB,126.11140189995058
100,mzDB,126.72542120004073
100,mzDB,127.12277559982613
100,MZA,667.2039055000059
100,MZA,634.532602999825
100,MZA,645.1248679000419
100,mz5,2644.9922111001797
100,mz5,3066.272533700103
100,mz5,3694.7809581998736
100,SQLite,34.95393369998783
100,SQLite,35.03943289979361
100,SQLite,34.97152390005067
100,DuckDB,2.48911160021089
100,DuckDB,2.4081216000486165
100,DuckDB,2.3959959000349045
100,Parquet,12.324708999833092
100,Parquet,12.227510099997744
100,Parquet,12.337073700036854
