method,file_size,filename
pyteomics,74812039,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
pyopenms,74812039,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
pyopenms_2DPeak,74812039,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
pymzml,74812039,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
mzMLb,17621893,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
mzDB,95846400,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
MZA,54892680,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
mz5,22619599,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
MZTree,83783800,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
mzMD,99250176,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
SQLite,197480448,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
DuckDB,42479616,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
Parquet,30484631,E:/mzsql/MTBLS10066/20220923_LEAP-POS_QC04/20220923_LEAP-POS_QC04
pyteomics,89232085,E:/mzsql/MTBLS10066/20220929_LEAP-POS_BL14B/20220929_LEAP-POS_BL14B
pyopenms,89232085,E:/mzsql/MTBLS10066/20220929_LEAP-POS_BL14B/20220929_LEAP-POS_BL14B
pyopenms_2DPeak,89232085,E:/mzsql/MTBLS10066/20220929_LEAP-POS_BL14B/20220929_LEAP-POS_BL14B
pymzml,89232085,E:/mzsql/MTBLS10066/20220929_LEAP-POS_BL14B/20220929_LEAP-POS_BL14B
mzMLb,24913627,E:/mzsql/MTBLS10066/20220929_LEAP-POS_BL14B/20220929_LEAP-POS_BL14B
