method,n_files,type,db_sort,size,mz_target,time
duckdb,1,consolidated,ordered,48508928,874.7872924804688,0.026800099993124604
duckdb,1,consolidated,ordered,48508928,876.8028564453125,0.0357246000203304
duckdb,1,consolidated,ordered,48508928,872.7710571289062,0.05311150004854426
duckdb,1,consolidated,ordered,48508928,875.78955078125,0.026783399982377887
duckdb,1,consolidated,ordered,48508928,850.7865600585938,0.035115000035148114
duckdb,1,consolidated,ordered,48508928,391.2843322753906,0.03704770002514124
duckdb,1,consolidated,ordered,48508928,900.8029174804688,0.03480860003037378
duckdb,1,consolidated,ordered,48508928,873.7734375,0.03723720001289621
duckdb,1,consolidated,ordered,48508928,877.804931640625,0.02999220002675429
duckdb,1,consolidated,ordered,48508928,898.7863159179688,0.03658979997271672
duckdb,1,multifile,ordered,48508928,874.7872924804688,0.021949300018604845
duckdb,1,multifile,ordered,48508928,876.8028564453125,0.020963900024071336
duckdb,1,multifile,ordered,48508928,872.7710571289062,0.0387452999711968
duckdb,1,multifile,ordered,48508928,875.78955078125,0.031367599964141846
duckdb,1,multifile,ordered,48508928,850.7865600585938,0.021236600005067885
duckdb,1,multifile,ordered,48508928,391.2843322753906,0.02193219994660467
duckdb,1,multifile,ordered,48508928,900.8029174804688,0.022909099992830306
duckdb,1,multifile,ordered,48508928,873.7734375,0.02162680000765249
duckdb,1,multifile,ordered,48508928,877.804931640625,0.021285599970724434
duckdb,1,multifile,ordered,48508928,898.7863159179688,0.021621699968818575
sqlite,1,consolidated,ordered,245211136,874.7872924804688,0.033558799943421036
sqlite,1,consolidated,ordered,245211136,876.8028564453125,0.03545090003171936
sqlite,1,consolidated,ordered,245211136,872.7710571289062,0.024075500026810914
sqlite,1,consolidated,ordered,245211136,875.78955078125,0.026213000004645437
sqlite,1,consolidated,ordered,245211136,850.7865600585938,0.035539899952709675
sqlite,1,consolidated,ordered,245211136,391.2843322753906,0.024063299992121756
sqlite,1,consolidated,ordered,245211136,900.8029174804688,0.03141430002870038
sqlite,1,consolidated,ordered,245211136,873.7734375,0.009053200017660856
sqlite,1,consolidated,ordered,245211136,877.804931640625,0.03088570002000779
sqlite,1,consolidated,ordered,245211136,898.7863159179688,0.021836399973835796
sqlite,1,multifile,ordered,245211136,874.7872924804688,0.032078999967779964
sqlite,1,multifile,ordered,245211136,876.8028564453125,0.03504319995408878
sqlite,1,multifile,ordered,245211136,872.7710571289062,0.020885800011456013
sqlite,1,multifile,ordered,245211136,875.78955078125,0.025108399975579232
sqlite,1,multifile,ordered,245211136,850.7865600585938,0.034289500035811216
sqlite,1,multifile,ordered,245211136,391.2843322753906,0.022306500002741814
sqlite,1,multifile,ordered,245211136,900.8029174804688,0.0305553000071086
sqlite,1,multifile,ordered,245211136,873.7734375,0.008318299951497465
sqlite,1,multifile,ordered,245211136,877.804931640625,0.030195600003935397
sqlite,1,multifile,ordered,245211136,898.7863159179688,0.020843899983447045
parquet,1,consolidated,ordered,45305577,874.7872924804688,0.07309909997275099
parquet,1,consolidated,ordered,45305577,876.8028564453125,0.05773499998031184
parquet,1,consolidated,ordered,45305577,872.7710571289062,0.09146149997832254
parquet,1,consolidated,ordered,45305577,875.78955078125,0.06275039998581633
parquet,1,consolidated,ordered,45305577,850.7865600585938,0.06264059996465221
parquet,1,consolidated,ordered,45305577,391.2843322753906,0.083381200034637
parquet,1,consolidated,ordered,45305577,900.8029174804688,0.06513569998787716
parquet,1,consolidated,ordered,45305577,873.7734375,0.06277979997685179
parquet,1,consolidated,ordered,45305577,877.804931640625,0.0630648999940604
parquet,1,consolidated,ordered,45305577,898.7863159179688,0.06250010000076145
parquet,1,multifile,ordered,45305577,874.7872924804688,0.06736360001377761
parquet,1,multifile,ordered,45305577,876.8028564453125,0.05673989997012541
parquet,1,multifile,ordered,45305577,872.7710571289062,0.07488939998438582
parquet,1,multifile,ordered,45305577,875.78955078125,0.06276989995967597
parquet,1,multifile,ordered,45305577,850.7865600585938,0.06291390000842512
parquet,1,multifile,ordered,45305577,391.2843322753906,0.08202620001975447
parquet,1,multifile,ordered,45305577,900.8029174804688,0.06276950001483783
parquet,1,multifile,ordered,45305577,873.7734375,0.062324400001671165
parquet,1,multifile,ordered,45305577,877.804931640625,0.06287520000478253
parquet,1,multifile,ordered,45305577,898.7863159179688,0.062471100012771785
duckdb,1,consolidated,unordered,42479616,874.7872924804688,0.0521180999930948
duckdb,1,consolidated,unordered,42479616,876.8028564453125,0.05028110003331676
duckdb,1,consolidated,unordered,42479616,872.7710571289062,0.07252449996303767
duckdb,1,consolidated,unordered,42479616,875.78955078125,0.0534398999880068
duckdb,1,consolidated,unordered,42479616,850.7865600585938,0.05463289999170229
duckdb,1,consolidated,unordered,42479616,391.2843322753906,0.05226829997263849
duckdb,1,consolidated,unordered,42479616,900.8029174804688,0.06462110002757981
duckdb,1,consolidated,unordered,42479616,873.7734375,0.044348099967464805
duckdb,1,consolidated,unordered,42479616,877.804931640625,0.05269589996896684
duckdb,1,consolidated,unordered,42479616,898.7863159179688,0.05221880000317469
duckdb,1,multifile,unordered,82063360,874.7872924804688,0.05061770003521815
duckdb,1,multifile,unordered,82063360,876.8028564453125,0.046647299954202026
duckdb,1,multifile,unordered,82063360,872.7710571289062,0.0661676999880001
duckdb,1,multifile,unordered,82063360,875.78955078125,0.05296739999903366
duckdb,1,multifile,unordered,82063360,850.7865600585938,0.05033900000853464
duckdb,1,multifile,unordered,82063360,391.2843322753906,0.05016169999726117
duckdb,1,multifile,unordered,82063360,900.8029174804688,0.05917079997016117
duckdb,1,multifile,unordered,82063360,873.7734375,0.041067700018174946
duckdb,1,multifile,unordered,82063360,877.804931640625,0.049776499974541366
duckdb,1,multifile,unordered,82063360,898.7863159179688,0.048463999992236495
sqlite,1,consolidated,unordered,197480448,874.7872924804688,0.47634789999574423
