query,target,method,time
ms1_spec,9044,pyteomics,4.865714899962768
ms1_spec,9044,pyopenms,2.2299291000235826
ms1_spec,9044,pymzml,0.05063039995729923
ms1_spec,9044,mzMLb,5.74965070001781
ms1_spec,9044,mzDB,0.7284120998810977
ms1_spec,9044,MZA,0.01025010016746819
ms1_spec,9044,mz5,0.04150870000012219
ms1_spec,9044,SQLite,0.2203402000013739
ms1_spec,9044,DuckDB,0.02050359989516437
ms1_spec,9044,Parquet,0.0648740001488477
ms1_spec,187,pyteomics,0.4064356000162661
ms1_spec,187,pyopenms,2.159137000096962
ms1_spec,187,pymzml,0.04633089993149042
ms1_spec,187,mzMLb,0.16056849993765354
ms1_spec,187,mzDB,0.958945499965921
ms1_spec,187,MZA,0.0011698000598698854
ms1_spec,187,mz5,0.038511899998411536
ms1_spec,187,SQLite,0.22343620005995035
ms1_spec,187,DuckDB,0.010911500081419945
ms1_spec,187,Parquet,0.03971829987131059
ms1_spec,7532,pyteomics,4.489640099927783
ms1_spec,7532,pyopenms,2.275009199976921
ms1_spec,7532,pymzml,0.03816760005429387
ms1_spec,7532,mzMLb,5.1911798000801355
ms1_spec,7532,mzDB,1.0532080000266433
ms1_spec,7532,MZA,0.0011668999213725328
ms1_spec,7532,mz5,0.038812599843367934
ms1_spec,7532,SQLite,0.22863760008476675
ms1_spec,7532,DuckDB,0.012334099970757961
ms1_spec,7532,Parquet,0.04767180001363158
ms1_spec,2396,pyteomics,1.6611242999788374
ms1_spec,2396,pyopenms,2.3013861998915672
ms1_spec,2396,pymzml,0.03935940004885197
ms1_spec,2396,mzMLb,1.6259522000327706
ms1_spec,2396,mzDB,0.3997827998828143
ms1_spec,2396,MZA,0.001215699827298522
ms1_spec,2396,mz5,0.04111650004051626
ms1_spec,2396,SQLite,0.2305534000042826
ms1_spec,2396,DuckDB,0.01163950003683567
ms1_spec,2396,Parquet,0.049256399972364306
ms1_spec,10409,pyteomics,6.076993700116873
ms1_spec,10409,pyopenms,2.3654201000463217
ms1_spec,10409,pymzml,0.038905300199985504
ms1_spec,10409,mzMLb,7.143831399967894
ms1_spec,10409,mzDB,0.8338645999319851
ms1_spec,10409,MZA,0.0011838001664727926
ms1_spec,10409,mz5,0.03741069999523461
ms1_spec,10409,SQLite,0.22780200000852346
ms1_spec,10409,DuckDB,0.011357400100678205
ms1_spec,10409,Parquet,0.02947469986975193
ms1_spec,87,pyteomics,0.3854906000196934
ms1_spec,87,pyopenms,2.323564500082284
ms1_spec,87,pymzml,0.0497596999630332
ms1_spec,87,mzMLb,0.11372450017370284
ms1_spec,87,mzDB,0.9708469999022782
ms1_spec,87,MZA,0.001191499875858426
ms1_spec,87,mz5,0.03759099985472858
ms1_spec,87,SQLite,0.22960099996998906
ms1_spec,87,DuckDB,0.01055789995007217
ms1_spec,87,Parquet,0.04084279993548989
ms1_spec,5259,pyteomics,3.40872920001857
ms1_spec,5259,pyopenms,2.419962099986151
ms1_spec,5259,pymzml,0.04229469993151724
ms1_spec,5259,mzMLb,3.714933400042355
ms1_spec,5259,mzDB,1.2558285999111831
ms1_spec,5259,MZA,0.001246799947693944
ms1_spec,5259,mz5,0.03822290012612939
ms1_spec,5259,SQLite,0.22870289999991655
ms1_spec,5259,DuckDB,0.011414899956434965
ms1_spec,5259,Parquet,0.046284399926662445
ms1_spec,69,pyteomics,0.3848777001257986
ms1_spec,69,pyopenms,2.3574449999723583
ms1_spec,69,pymzml,0.057998500065878034
ms1_spec,69,mzMLb,0.10576270008459687
ms1_spec,69,mzDB,0.9865282000973821
ms1_spec,69,MZA,0.0012149999383836985
ms1_spec,69,mz5,0.03601619997061789
ms1_spec,69,SQLite,0.23234109999611974
ms1_spec,69,DuckDB,0.01037910021841526
ms1_spec,69,Parquet,0.03979790001176298
ms1_spec,5157,pyteomics,3.3866435000672936
ms1_spec,5157,pyopenms,2.442585399840027
ms1_spec,5157,pymzml,0.041991200065240264
ms1_spec,5157,mzMLb,3.768899700138718
ms1_spec,5157,mzDB,1.269300299929455
ms1_spec,5157,MZA,0.0012288999278098345
ms1_spec,5157,mz5,0.0394592999946326
ms1_spec,5157,SQLite,0.2337257000617683
ms1_spec,5157,DuckDB,0.010209800209850073
ms1_spec,5157,Parquet,0.04875019984319806
ms1_spec,7988,pyteomics,4.962067699991167
ms1_spec,7988,pyopenms,2.4543275001924485
ms1_spec,7988,pymzml,0.04421439999714494
ms1_spec,7988,mzMLb,5.694825300015509
ms1_spec,7988,mzDB,1.0413814999628812
ms1_spec,7988,MZA,0.0012512998655438423
ms1_spec,7988,mz5,0.03708300017751753
ms1_spec,7988,SQLite,0.2385303999762982
ms1_spec,7988,DuckDB,0.011252500116825104
ms1_spec,7988,Parquet,0.04604130005463958
chrom,666.617919921875,pyteomics,7.347969900118187
chrom,666.617919921875,pyopenms,3.109340799972415
chrom,666.617919921875,pyopenms_2DPeak,2.4376296000555158
chrom,666.617919921875,pymzml,4.383111899951473
chrom,666.617919921875,mzMLb,6.668189000105485
chrom,666.617919921875,mzDB,0.5668784999288619
chrom,666.617919921875,MZA,2.9462405999656767
chrom,666.617919921875,mz5,9.892328600166366
chrom,666.617919921875,MZTree,2.324966700049117
chrom,666.617919921875,mzMD,0.3520376000087708
chrom,666.617919921875,SQLite,0.2727252999320626
chrom,666.617919921875,DuckDB,0.0803173000458628
chrom,666.617919921875,Parquet,0.08044619997963309
chrom,391.2838439941406,pyteomics,7.259717699838802
chrom,391.2838439941406,pyopenms,3.101277400040999
chrom,391.2838439941406,pyopenms_2DPeak,2.4517926999833435
chrom,391.2838439941406,pymzml,4.337346800137311
chrom,391.2838439941406,mzMLb,6.667044000001624
chrom,391.2838439941406,mzDB,0.2537636999040842
chrom,391.2838439941406,MZA,3.0084192000795156
chrom,391.2838439941406,mz5,10.023612100165337
chrom,391.2838439941406,MZTree,0.36256589996628463
chrom,391.2838439941406,mzMD,0.19761089980602264
chrom,391.2838439941406,SQLite,0.2677514001261443
chrom,391.2838439941406,DuckDB,0.03228659997694194
chrom,391.2838439941406,Parquet,0.06365119991824031
chrom,924.2693481445312,pyteomics,6.914233400020748
chrom,924.2693481445312,pyopenms,2.735181099968031
chrom,924.2693481445312,pyopenms_2DPeak,2.466991800116375
chrom,924.2693481445312,pymzml,3.9618553000036627
chrom,924.2693481445312,mzMLb,6.236922200070694
chrom,924.2693481445312,mzDB,0.5239069999661297
chrom,924.2693481445312,MZA,2.95210099988617
chrom,924.2693481445312,mz5,10.144802799914032
chrom,924.2693481445312,MZTree,0.8614504002034664
chrom,924.2693481445312,mzMD,0.16375879989936948
chrom,924.2693481445312,SQLite,0.255008100066334
chrom,924.2693481445312,DuckDB,0.03144140006043017
chrom,924.2693481445312,Parquet,0.08756810007616878
chrom,758.5687255859375,pyteomics,7.624702600063756
chrom,758.5687255859375,pyopenms,3.4208465998526663
chrom,758.5687255859375,pyopenms_2DPeak,2.544541500043124
chrom,758.5687255859375,pymzml,5.099588199984282
chrom,758.5687255859375,mzMLb,7.045070099877194
chrom,758.5687255859375,mzDB,0.5735774000640959
chrom,758.5687255859375,MZA,3.8164411999750882
chrom,758.5687255859375,mz5,10.149706800002605
chrom,758.5687255859375,MZTree,0.7825640998780727
chrom,758.5687255859375,mzMD,0.18615219998173416
chrom,758.5687255859375,SQLite,0.26801720005460083
chrom,758.5687255859375,DuckDB,0.0443255000282079
chrom,758.5687255859375,Parquet,0.08131009992212057
chrom,496.33837890625,pyteomics,7.016044600168243
chrom,496.33837890625,pyopenms,2.8796395000535995
chrom,496.33837890625,pyopenms_2DPeak,2.4754375000484288
chrom,496.33837890625,pymzml,4.357408500043675
chrom,496.33837890625,mzMLb,6.370238400064409
chrom,496.33837890625,mzDB,0.2422058000229299
chrom,496.33837890625,MZA,3.9585060998797417
chrom,496.33837890625,mz5,10.147493399912491
chrom,496.33837890625,MZTree,0.07259520003572106
chrom,496.33837890625,mzMD,0.1989188001025468
chrom,496.33837890625,SQLite,0.26483680005185306
chrom,496.33837890625,DuckDB,0.016881000017747283
chrom,496.33837890625,Parquet,0.10437940014526248
chrom,700.6256103515625,pyteomics,7.680405999999493
chrom,700.6256103515625,pyopenms,3.3647618999239057
chrom,700.6256103515625,pyopenms_2DPeak,2.4943938001524657
chrom,700.6256103515625,pymzml,4.694602299947292
chrom,700.6256103515625,mzMLb,6.956945599988103
chrom,700.6256103515625,mzDB,0.5764165997970849
chrom,700.6256103515625,MZA,3.845143700018525
chrom,700.6256103515625,mz5,10.04962159995921
chrom,700.6256103515625,MZTree,0.17326229996979237
chrom,700.6256103515625,mzMD,0.19037359999492764
chrom,700.6256103515625,SQLite,0.25771240005269647
